region_id,Zoning
8b2a8ac6cd4cfff,3
8b2a8ad5b372fff,15
8b2a8ad4b661fff,0
8b2a8a89350bfff,6
8b2a8a89350bfff,15
8b2a8ac64b44fff,3
8b2a8a89279bfff,3
8b2a8a89205afff,10
8b2a8ac654eafff,5
8b2a8ac65721fff,5
8b2a8ad4a204fff,0
8b2a8ad48694fff,1
8b2a8ac60b58fff,5
8b2a8ac61a93fff,3
8b2a8ac61a93fff,15
8b2a8ad4b75efff,0
8b2a8ad4bd6efff,2
8b2a8a896296fff,0
8b2a8ac6cda8fff,3
8b2a8ac6c82cfff,7
8b2a8ac6c82cfff,10
8b2a8ac6cc06fff,15
8b2a8ad485aafff,15
8b2a8ac62a15fff,15
8b2a8ad4bd88fff,1
8b2a8ac60b70fff,5
8b2a8ad4b0adfff,0
8b2a8ac638c3fff,15
8b2a8a896718fff,0
8b2a8ad592c4fff,15
8b2a8ac6660cfff,15
8b2a8ac648e9fff,2
8b2a8ac65a0afff,0
8b2a8ad4a51cfff,15
8b2a8ac61525fff,15
8b2a8ad4bc32fff,1
8b2a8ad4bc32fff,2
8b2a8ac602cafff,2
8b2a8ac602cafff,15
8b2a8ac63d56fff,2
8b2a8ad4bcc4fff,0
8b2a8ac65791fff,5
8b2a8ad4e253fff,15
8b2a8ad4a6d5fff,2
8b2a8ad590eefff,15
8b2a8ac656b2fff,5
8b2a8ac63909fff,2
8b2a8ac6c819fff,7
8b2a8ad59324fff,15
8b2a8ac65c83fff,4
8b2a8ac65c83fff,8
8b2a8a892448fff,3
8b2a8ac66504fff,15
8b2a8ac63943fff,15
8b2a8a892c12fff,13
8b2a8a892c12fff,0
8b2a8a892c12fff,10
8b2a8a892830fff,0
8b2a8ac60198fff,2
8b2a8ad4a8e8fff,15
8b2a8ad4a8e8fff,0
8b2a8ac66300fff,15
8b2a8ac62ba0fff,15
8b2a8ac60754fff,2
8b2a8ac61b15fff,3
8b2a8ac60651fff,2
8b2a8ac6090afff,8
8b2a8ad4808efff,0
8b2a8ad4b4eefff,10
8b2a8ac66a58fff,15
8b2a8ac640c8fff,0
8b2a8a892a6cfff,1
8b2a8ac60944fff,5
8b2a8ac6648afff,15
8b2a8ad4b683fff,0
8b2a8ad4b683fff,8
8b2a8ac63546fff,15
8b2a8ac60921fff,10
8b2a8a892460fff,0
8b2a8ac65b0cfff,0
8b2a8ad4b60efff,0
8b2a8ac6436efff,2
8b2a8ac6436efff,0
8b2a8ac66ad5fff,15
8b2a8ac64391fff,0
8b2a8ad4b2c5fff,0
8b2a8ad4a29efff,0
8b2a8ac64349fff,2
8b2a8ad4aab1fff,0
8b2a8ac62c65fff,15
8b2a8ad4b311fff,0
8b2a8ac62820fff,15
8b2a8ac64b0dfff,3
8b2a8ac668e3fff,15
8b2a8a896511fff,0
8b2a8ac63500fff,15
8b2a8ad4bd52fff,2
8b2a8ac6c224fff,10
8b2a8ac6c81cfff,7
8b2a8ad59246fff,15
8b2a8a893420fff,6
8b2a8ac64db6fff,15
8b2a8ad4ad28fff,15
8b2a8ad4b730fff,0
8b2a8ac60256fff,15
8b2a8ad5b25afff,15
8b2a8a892889fff,0
8b2a8ac61376fff,15
8b2a8a89674dfff,0
8b2a8ac61ac5fff,3
8b2a8a896256fff,2
8b2a8ad4b553fff,10
8b2a8ad4b553fff,2
8b2a8ad4a1b2fff,15
8b2a8ac60541fff,15
8b2a8ac63c40fff,2
8b2a8ac66268fff,15
8b2a8ad4a255fff,9
8b2a8ac6645bfff,15
8b2a8ac6456cfff,2
8b2a8ac65013fff,5
8b2a8ad4ac82fff,15
8b2a8ad4b771fff,0
8b2a8ad4b771fff,2
8b2a8ac6690cfff,15
8b2a8ac62bb1fff,15
8b2a8ac63cabfff,15
8b2a8ac60241fff,15
8b2a8ad4ac11fff,15
8b2a8ac6cdb0fff,3
8b2a8ac61505fff,15
8b2a8ad4b648fff,11
8b2a8a892db0fff,1
8b2a8ac644e2fff,15
8b2a8ac644e2fff,2
8b2a8ac65adafff,0
8b2a8ac61518fff,15
8b2a8ac621a0fff,15
