region_id_left,Zoning
8c2a8a8934c03ff,6
8c2a8ac6671e1ff,15
8c2a8ac660dd7ff,15
8c2a8ac60a9b3ff,5
8c2a8ad4e6f0bff,15
8c2a8a892d697ff,0
8c2a8ad4e24d3ff,15
8c2a8ac61cf17ff,5
8c2a8ac657497ff,5
8c2a8ac608243ff,8
8c2a8ac60c5edff,2
8c2a8ad4bda5bff,1
8c2a8ad4bda5bff,2
8c2a8ad4b685bff,0
8c2a8ac60af65ff,5
8c2a8ac654563ff,5
8c2a8ac60b143ff,5
8c2a8ac647935ff,15
8c2a8a892211dff,0
8c2a8a892211dff,1
8c2a8ac665b11ff,15
8c2a8a8966f31ff,0
8c2a8a89675bbff,0
8c2a8ac65cd31ff,5
8c2a8ac62baabff,15
8c2a8ad592529ff,15
8c2a8a89256c1ff,0
8c2a8ac6145c3ff,15
8c2a8ac64b61bff,10
8c2a8ac6591c7ff,0
8c2a8a8966c4dff,0
8c2a8a8928461ff,0
8c2a8ac63a597ff,15
8c2a8ad4aae13ff,0
8c2a8ac664e51ff,15
8c2a8ac6204b9ff,15
8c2a8ad4ab1a7ff,2
8c2a8ad59a5c5ff,15
8c2a8ac62d5a1ff,15
8c2a8ad485189ff,15
8c2a8ac616027ff,15
8c2a8ac63143dff,15
8c2a8ad484eebff,2
8c2a8a89230cbff,1
8c2a8ac6cd50bff,3
8c2a8ac6398b5ff,2
8c2a8ac6398b5ff,15
8c2a8a89251bbff,0
8c2a8a8937adbff,6
8c2a8ac642a45ff,0
8c2a8ad4a04cdff,0
8c2a8ac668e37ff,15
8c2a8ac62335dff,2
8c2a8ad4a7821ff,15
8c2a8ac6146a9ff,15
8c2a8ad4b2a23ff,0
8c2a8ac618a0dff,3
8c2a8ac634353ff,15
8c2a8ac60d2b7ff,15
8c2a8ac65da59ff,1
8c2a8ac65da59ff,10
8c2a8a89212e7ff,0
8c2a8ad485497ff,0
8c2a8ac66a1bbff,15
8c2a8ac6102d5ff,3
8c2a8ac650f37ff,5
8c2a8ac62c569ff,15
8c2a8ac63020bff,2
8c2a8ad4b792dff,10
8c2a8ac645755ff,2
8c2a8ad484269ff,15
8c2a8a892901dff,2
8c2a8a892901dff,0
8c2a8ac62a261ff,15
8c2a8ac641ae9ff,15
8c2a8ad4a54b5ff,15
8c2a8ac62a315ff,15
8c2a8ac6ca6d9ff,6
8c2a8a893433dff,6
8c2a8ac644f4bff,15
8c2a8ac617b49ff,15
8c2a8ad5964d9ff,15
8c2a8ad4b409dff,10
8c2a8ac643121ff,0
8c2a8a8921b01ff,10
8c2a8ac640dc3ff,0
8c2a8ac601149ff,15
8c2a8ad4e6529ff,15
8c2a8ac654843ff,5
8c2a8ac66850dff,15
8c2a8ac628615ff,15
8c2a8ac6540a9ff,5
8c2a8a8935753ff,15
8c2a8ac6206a9ff,2
8c2a8ad484f5dff,2
8c2a8ad593ac5ff,15
8c2a8ad4bd18bff,2
8c2a8ac608a49ff,8
8c2a8ad4bda6bff,2
8c2a8ac65a2a3ff,0
8c2a8ad4a66a3ff,0
8c2a8ac658203ff,1
8c2a8ac658203ff,0
8c2a8ad592537ff,15
8c2a8ac644c11ff,15
8c2a8a8927119ff,3
8c2a8ac657613ff,5
8c2a8ac63ce0dff,15
8c2a8a8929489ff,2
8c2a8ad4b5613ff,0
8c2a8ac605689ff,2
8c2a8ac66add9ff,15
8c2a8ac661311ff,15
8c2a8ad4b68b5ff,0
8c2a8ac6615d7ff,15
8c2a8ad4a74a3ff,0
8c2a8ac62b223ff,15
8c2a8ac665b6bff,15
8c2a8a892ca65ff,0
8c2a8a8965ad3ff,0
8c2a8a89201edff,10
8c2a8ac65a4a5ff,1
8c2a8ac65a4a5ff,0
8c2a8ac66d1d1ff,15
8c2a8ac65b9cbff,4
8c2a8ad4bd647ff,2
8c2a8ac6651d7ff,15
8c2a8a8923261ff,8
8c2a8ac60b4cbff,5
8c2a8ad593743ff,15
8c2a8ac61d433ff,5
8c2a8a8925917ff,0
8c2a8a8925917ff,3
8c2a8ac664a81ff,15
8c2a8ac63aeb9ff,15
8c2a8ac648915ff,16
8c2a8a8926629ff,2
8c2a8ad4a22d7ff,0
8c2a8ac650517ff,14
8c2a8ac6291c5ff,15
8c2a8ac61c25dff,5
8c2a8ad4a872dff,15
8c2a8ac63b2c7ff,15
8c2a8a89281c5ff,0
8c2a8ad593ad3ff,15
8c2a8ac608309ff,8
8c2a8ac64ceb7ff,15
8c2a8ac65216dff,11
8c2a8ac617709ff,15
8c2a8ac60c9e9ff,15
8c2a8ad4a28e1ff,0
8c2a8ac611501ff,3
8c2a8ac649003ff,0
8c2a8ad4a6085ff,15
8c2a8ac600a37ff,11
8c2a8ac600a37ff,2
8c2a8ad4b4099ff,10
8c2a8a892aea3ff,1
8c2a8a89361b5ff,6
8c2a8ac635511ff,15
8c2a8ac64c20dff,2
8c2a8ac62b33bff,15
8c2a8ad593b31ff,15
8c2a8ac60d867ff,15
8c2a8ac642ecdff,0
8c2a8ad4a2049ff,0
8c2a8ac61cec5ff,3
8c2a8ac62c5e5ff,15
8c2a8ac617921ff,15
8c2a8ac6650a1ff,15
8c2a8ac630b69ff,15
8c2a8ac650863ff,5
8c2a8ad4bad81ff,8
8c2a8ac64ca81ff,15
8c2a8ac614d53ff,15
8c2a8ac615a61ff,15
8c2a8ac639181ff,2
8c2a8ac644425ff,2
8c2a8a89240b9ff,0
8c2a8ac605b1bff,15
8c2a8a8929857ff,0
8c2a8ad485755ff,15
8c2a8a8934a5dff,6
8c2a8ac6c1a81ff,15
8c2a8ac6500bbff,14
8c2a8ac65a8adff,0
8c2a8ac6612a5ff,15
8c2a8ac658285ff,1
8c2a8a8924463ff,0
8c2a8ad4b7531ff,0
8c2a8ac654f35ff,5
8c2a8ac628f0bff,15
8c2a8ac6109d9ff,15
8c2a8ac6c883bff,7
8c2a8ac6c883bff,3
8c2a8a8936865ff,6
8c2a8ad4a6919ff,15
8c2a8a8924151ff,3
8c2a8ac66450dff,15
8c2a8a89675ddff,0
8c2a8a8922d51ff,2
8c2a8a8922d51ff,10
8c2a8ac619333ff,3
8c2a8ad4bd2cdff,2
8c2a8ac63b34dff,15
8c2a8ac654091ff,5
8c2a8a8920819ff,0
8c2a8ac64d5d1ff,15
8c2a8ac64d5d1ff,16
8c2a8a89246e5ff,0
8c2a8ac63ba8bff,15
8c2a8ac619455ff,3
8c2a8ad4bd441ff,2
8c2a8ac611135ff,3
8c2a8ac619ac1ff,3
8c2a8ad4ab285ff,2
8c2a8a8925097ff,0
8c2a8ac61a447ff,3
8c2a8ac66b00bff,15
8c2a8ad4a0457ff,0
8c2a8ac606345ff,2
8c2a8ac651a91ff,4
8c2a8ac646911ff,15
8c2a8ac660cc3ff,15
8c2a8ac64301dff,0
8c2a8ad4a5545ff,15
8c2a8a89295a9ff,0
8c2a8a8966f01ff,0
8c2a8ac62d251ff,15
8c2a8ac62b405ff,15
8c2a8ac661725ff,15
8c2a8ac60d703ff,15
8c2a8ad4b6539ff,0
8c2a8ac607985ff,15
8c2a8ac61b809ff,3
8c2a8ac6652b1ff,15
8c2a8ac65571dff,5
8c2a8ac64d223ff,15
8c2a8ad4a65ebff,15
8c2a8ac6162dbff,15
8c2a8ac64d691ff,15
8c2a8ac62b5cdff,15
8c2a8ac644eb1ff,15
8c2a8ac61664dff,15
8c2a8ac62ae31ff,15
8c2a8ac63d121ff,15
8c2a8ac62809bff,15
8c2a8ac65886bff,1
8c2a8ac638d35ff,15
8c2a8ac63116bff,2
8c2a8ac66ada9ff,15
8c2a8a8935939ff,6
8c2a8ac6131e3ff,15
8c2a8ad592535ff,15
8c2a8a892ac1bff,1
8c2a8ac660405ff,15
8c2a8ac662819ff,15
8c2a8ac652a81ff,3
8c2a8ac6106d3ff,15
8c2a8ac641453ff,11
8c2a8ac641453ff,2
8c2a8ad592ea1ff,15
8c2a8ac63ced9ff,15
8c2a8ad4b2021ff,1
8c2a8ac60486dff,15
8c2a8ac660b2dff,15
8c2a8ad4a9663ff,15
8c2a8ac658357ff,11
8c2a8ac6090c9ff,10
8c2a8ad4aa6bbff,2
8c2a8ad4aa6bbff,1
8c2a8ac610a55ff,15
8c2a8ac66552bff,15
8c2a8ad596b43ff,15
8c2a8a8920c1dff,13
8c2a8ac63af47ff,15
8c2a8ac63528bff,15
8c2a8ac6422d5ff,0
8c2a8a8920715ff,11
8c2a8a8920ca9ff,13
8c2a8a896716bff,0
8c2a8ad592ce5ff,15
8c2a8ac66542dff,15
8c2a8a8936c21ff,6
8c2a8a8936c21ff,7
8c2a8ac60c991ff,15
8c2a8ac62b5a1ff,15
8c2a8ac642e1dff,0
8c2a8ac75b257ff,15
8c2a8a892458dff,0
8c2a8a892458dff,3
8c2a8ac666ac1ff,15
8c2a8ac615265ff,15
