region_id,cluster
8a2a8a89281ffff,7
8a2a8ac60527fff,3
8a2a8ac60d27fff,3
8a2a8a892407fff,-1
8a2a8ad596e7fff,4
8a2a8ad5b2b7fff,3
8a2a8a892bb7fff,-1
8a2a8a8928affff,7
8a2a8ac65137fff,-1
8a2a8ad59b37fff,15
8a2a8ac6c31ffff,-1
8a2a8ac63c97fff,18
8a2a8ac64387fff,7
8a2a8ac6354ffff,-1
8a2a8ac6319ffff,-1
8a2a8ac60027fff,-1
8a2a8ac6408ffff,3
8a2a8ac63d2ffff,-1
8a2a8ac667b7fff,5
8a2a8ac62ccffff,4
8a2a8ad4a247fff,-1
8a2a8ac6169ffff,4
8a2a8a8924effff,0
8a2a8ac6cd87fff,-1
8a2a8ac66207fff,5
8a2a8ac642c7fff,-1
8a2a8a89648ffff,7
8a2a8ac61a37fff,0
8a2a8ac61427fff,3
8a2a8a89245ffff,-1
8a2a8ac646f7fff,-1
8a2a8ad4ac47fff,5
8a2a8a8922f7fff,0
8a2a8ac656d7fff,9
8a2a8a8930affff,3
8a2a8ac6051ffff,4
8a2a8ac61497fff,5
8a2a8ac62257fff,18
8a2a8ac65baffff,-1
8a2a8ad4a46ffff,4
8a2a8ac6069ffff,-1
8a2a8ac66a0ffff,21
8a2a8ac65b4ffff,7
8a2a8ac61d9ffff,9
8a2a8ac6c567fff,-1
8a2a8ac640c7fff,11
8a2a8a89219ffff,-1
8a2a8ac65b1ffff,7
8a2a8ad4a2d7fff,7
8a2a8ac65a5ffff,7
8a2a8ac6c1a7fff,3
8a2a8ad4a427fff,8
8a2a8ad4b6e7fff,7
8a2a8ac6c207fff,0
8a2a8a8935a7fff,3
8a2a8ac66037fff,15
8a2a8ad4b547fff,-1
8a2a8a8936effff,19
8a2a8ad5974ffff,4
8a2a8ac66047fff,15
8a2a8ac6dc37fff,-1
8a2a8a8922e7fff,7
8a2a8ad4aa6ffff,7
8a2a8ac6654ffff,5
8a2a8a89224ffff,3
8a2a8ad5b30ffff,3
8a2a8ac63a57fff,5
8a2a8ac6158ffff,6
8a2a8ad486e7fff,3
8a2a8ac6c397fff,0
8a2a8ac66acffff,-1
8a2a8a893097fff,0
8a2a8ad590c7fff,2
8a2a8ac6cb77fff,0
8a2a8ad4b44ffff,-1
8a2a8ad4b38ffff,7
8a2a8ac62987fff,4
8a2a8ac63c8ffff,18
8a2a8a89239ffff,0
8a2a8ac6295ffff,-1
8a2a8ac66adffff,-1
8a2a8ac63a07fff,13
8a2a8a892a07fff,7
8a2a8ac63b77fff,13
8a2a8ad59257fff,5
8a2a8ac6078ffff,-1
8a2a8ac65007fff,-1
8a2a8ac651b7fff,9
8a2a8ac64497fff,5
8a2a8ad5906ffff,4
8a2a8ac64777fff,4
8a2a8ac61aa7fff,0
8a2a8ac60c07fff,7
8a2a8ac62877fff,5
8a2a8ac63cc7fff,18
8a2a8ac64047fff,11
8a2a8ad4b52ffff,-1
8a2a8ac6c92ffff,0
8a2a8a89661ffff,3
